Date,Close,Open,High,Low,TSLA Volume,TSLA HL PCT,TSLA OC PCT,NASDAQ Volume,NASDAQ HL PCT,NASDAQ OC PCT,Label (2D)
3/9/2019,45,44.82,45.79,44.63,26800000,0.025991486,0.004016064,512490000,0.011857551,-0.004082748,1
4/9/2019,44.14,45.38,45.69,43.84,28840000,0.042198905,-0.027324813,509990000,0.00661753,0.003405113,1
5/9/2019,45.92,44.5,45.96,44.17,37020000,0.040525243,0.031910112,542830000,0.009071749,0.006889716,0
6/9/2019,45.49,45.44,45.93,45.03,20950000,0.019986676,0.001100352,478400000,0.004429204,-0.002770264,1
9/9/2019,46.36,46,46.75,45.85,24010000,0.019629226,0.007826087,573750000,0.009848057,-0.005346265,1
10/9/2019,47.11,46.16,47.11,45.79,24420000,0.028827255,0.020580589,609350000,0.01060276,0.004244731,1
11/9/2019,49.42,47.48,49.63,47.2,50210000,0.051483051,0.040859309,595760000,0.010903835,0.009639531,0
12/9/2019,49.17,49.54,50.7,48.88,42910000,0.037234043,-0.007468712,557770000,0.008202546,-0.001475645,0
13/9/2019,49.04,49.39,49.69,48.97,26570000,0.014702879,-0.007086455,495640000,0.005477946,-0.00169219,0
16/9/2019,48.56,49.2,49.49,48.23,23640000,0.026124819,-0.01300813,483840000,0.005426505,0.003927778,0
17/9/2019,48.96,48.49,49.12,48.07,19730000,0.021843145,0.00969272,471620000,0.005947306,0.004586036,0
18/9/2019,48.7,49,49.63,48.47,21140000,0.023932329,-0.006122449,542240000,0.011581431,0.000338854,0
19/9/2019,49.32,49.2,49.59,48.97,24420000,0.012660813,0.002439024,492920000,0.00772052,-0.001307119,0
20/9/2019,48.12,49.3,49.39,47.63,32530000,0.036951501,-0.023935091,1520000000,0.01442712,-0.008211483,0
23/9/2019,48.25,48,49.04,47.84,21960000,0.025083612,0.005208333,473440000,0.006242162,0.000736447,0
24/9/2019,44.64,48.3,48.4,44.52,64710000,0.087151842,-0.075776398,608620000,0.023738809,-0.018853033,1
25/9/2019,45.74,44.91,45.8,43.67,47220000,0.048774903,0.018481407,532510000,0.020090554,0.01085267,1
26/9/2019,48.51,46.13,48.66,45.48,60390000,0.069920844,0.051593323,472490000,0.010147641,-0.004889642,0
27/9/2019,48.43,48.44,49.74,47.75,55620000,0.041675393,-0.000206441,527850000,0.020474559,-0.013356348,0
30/9/2019,48.17,48.6,48.8,47.22,29730000,0.033460398,-0.008847737,510050000,0.007865775,0.004426118,0
1/10/2019,48.94,48.3,49.19,47.83,30980000,0.028434037,0.013250518,541530000,0.019757687,-0.014718139,0
2/10/2019,48.63,48.66,48.93,47.89,31280000,0.021716433,-0.000616523,629680000,0.013912291,-0.008391149,0
3/10/2019,46.61,46.37,46.9,44.86,75690000,0.045474811,0.00517576,518320000,0.022372727,0.010947705,0
4/10/2019,46.29,46.32,46.96,45.61,40110000,0.029598772,-0.000647668,443550000,0.011042625,0.009359621,1
7/10/2019,47.54,45.96,47.71,45.71,40430000,0.043754102,0.03437772,477670000,0.008968683,-1.63E-05,1
8/10/2019,48.01,47.17,48.79,46.9,43510000,0.040298507,0.017807929,478690000,0.012545167,-0.009433711,0
9/10/2019,48.91,48.26,49.46,48.13,34680000,0.027633493,0.013468711,391060000,0.007288989,0.000984048,0
10/10/2019,48.95,49.06,49.86,48.32,31570000,0.031870861,-0.002242152,451970000,0.010511645,0.005845993,1
11/10/2019,49.58,49.43,50.22,49.36,42440000,0.017423015,0.003034594,549190000,0.008574837,0.001205367,1
14/10/2019,51.39,49.58,51.71,49.43,51130000,0.046125835,0.036506656,380780000,0.004161062,0.000534537,0
15/10/2019,51.58,51.54,52,50.82,32400000,0.023219205,0.000776096,447400000,0.011691306,0.009146919,0
16/10/2019,51.95,51.48,52.42,51.38,33520000,0.020241339,0.009129759,470300000,0.005278044,0.00053819,0
17/10/2019,52.39,52.5,52.96,52.03,23900000,0.017874303,-0.002095238,488840000,0.006443044,-0.002453249,0
18/10/2019,51.39,52.14,52.56,51.02,28770000,0.030184241,-0.01438435,559750000,0.013918547,-0.007400136,0
21/10/2019,50.7,51.67,51.9,50.04,25540000,0.037170264,-0.018772982,482280000,0.005775348,0.003142274,0
22/10/2019,51.12,50.86,51.67,50.17,23130000,0.029898346,0.005112072,463310000,0.011434242,-0.010236782,1
23/10/2019,50.94,50.9,51.23,50.27,56080000,0.019096877,0.000785855,457420000,0.005513502,0.003652549,1
24/10/2019,59.94,59.67,60.99,57.84,149100000,0.054460581,0.004524887,468720000,0.006166392,0.000704153,1
25/10/2019,65.63,59.54,66,59.22,150030000,0.114488349,0.102284179,475980000,0.012192982,0.011352552,0
28/10/2019,65.54,65.51,68.17,64.52,94350000,0.056571606,0.000457945,488910000,0.006069808,0.004854105,0
29/10/2019,63.24,64,64.86,62.95,63420000,0.030341541,-0.011875,468380000,0.005335257,-0.004390528,0
30/10/2019,63,62.6,63.76,61.99,48210000,0.028552992,0.006389776,484370000,0.008954463,0.002377998,0
31/10/2019,62.98,62.62,63.8,62.6,25330000,0.019169329,0.005748962,608630000,0.008848549,-0.002648424,0
1/11/2019,62.66,63.26,63.3,61.96,31920000,0.021626856,-0.009484666,519420000,0.007228675,0.006160731,0
4/11/2019,63.49,62.96,64.39,61.85,43940000,0.041067098,0.008418043,555690000,0.003570708,-0.001456397,1
5/11/2019,63.44,63.92,64.7,63.22,34720000,0.023410313,-0.007509387,559520000,0.004315376,-0.001413583,1
6/11/2019,65.32,63.6,65.34,62.9,39700000,0.038791733,0.027044025,584190000,0.005637682,-0.001891636,1
7/11/2019,67.11,65.83,68.3,65.6,72340000,0.041158537,0.019444022,618390000,0.007995608,-0.002435214,1
8/11/2019,67.43,66.9,67.49,66.5,30370000,0.014887218,0.007922272,508330000,0.008289426,0.0062498,1
11/11/2019,69.02,68.79,69.84,68.4,49970000,0.021052632,0.003343509,435560000,0.004961136,0.003916378,0
12/11/2019,69.99,69.38,70.07,68.81,36800000,0.018311292,0.008792159,491230000,0.006126676,0.001773094,0
13/11/2019,69.22,71,71.27,69.04,42340000,0.032300116,-0.025070423,521490000,0.005390861,0.003202831,0
14/11/2019,69.87,69.22,70.77,68.58,32360000,0.031933508,0.00939035,499400000,0.005186233,0.002122665,0
15/11/2019,70.43,70.13,70.56,69.67,24060000,0.012774508,0.00427777,588620000,0.004000329,0.001918006,1
18/11/2019,70,70.58,70.63,69.22,22040000,0.020369835,-0.008217625,523430000,0.006604246,0.002436348,0
19/11/2019,71.9,70.35,72,69.56,38680000,0.035077631,0.022032694,533690000,0.00621198,-0.000858007,0
20/11/2019,70.44,72,72.24,69.91,33670000,0.033328565,-0.021666667,771510000,0.012946604,-0.001971073,0
21/11/2019,70.97,70.9,72.17,70.8,30550000,0.019350282,0.000987306,520650000,0.005118242,-0.002539907,0
22/11/2019,66.61,68.03,68.2,66,84350000,0.033333333,-0.020873144,459670000,0.006838109,-0.001248456,0
25/11/2019,67.27,68.86,68.91,66.89,61730000,0.030198834,-0.023090328,575980000,0.0085868,0.008509694,0
