Date,Close,Open,High,Low,ZM Volume,ZM HL PCT,ZM OC PCT,NASDAQ Volume,NASDAQ HL PCT,NASDAQ OC PCT,Label (2D)
3/9/2019,92.46,91.5,94.24,90.75,1540000,0.0384573,0.010491803,512490000,0.011857551,-0.004082748,0
4/9/2019,93.53,93.95,96,93.18,2420000,0.030264005,-0.004470463,509990000,0.00661753,0.003405113,0
5/9/2019,92.69,94.24,94.38,88.51,5060000,0.06632019,-0.016447368,542830000,0.009071749,0.006889716,0
6/9/2019,85.41,92,96.5,84.86,7290000,0.137167099,-0.071630435,478400000,0.004429204,-0.002770264,0
9/9/2019,78.65,85.75,85.94,77.2,6710000,0.113212435,-0.082798834,573750000,0.009848057,-0.005346265,1
10/9/2019,80.35,77,81.22,76.81,2810000,0.057414399,0.043506494,609350000,0.01060276,0.004244731,0
11/9/2019,80.71,80,81.86,78.5,2010000,0.042802548,0.008875,595760000,0.010903835,0.009639531,0
12/9/2019,81.53,81.45,82.65,79.9,1960000,0.034418023,0.000982198,557770000,0.008202546,-0.001475645,0
13/9/2019,78.85,81.57,82.48,78.27,1420000,0.053788169,-0.033345593,495640000,0.005477946,-0.00169219,1
16/9/2019,80.67,78.5,80.99,78.26,1630000,0.034883721,0.027643312,483840000,0.005426505,0.003927778,1
17/9/2019,84.64,81.49,84.82,79.53,2540000,0.06651578,0.03865505,471620000,0.005947306,0.004586036,0
18/9/2019,84.55,84.4,86,83.5,1840000,0.02994012,0.001777251,542240000,0.011581431,0.000338854,0
19/9/2019,84.62,85.2,85.35,83.25,1280000,0.025225225,-0.006807512,492920000,0.00772052,-0.001307119,0
20/9/2019,82.63,85,85.35,81.5,2050000,0.047239264,-0.027882353,1520000000,0.01442712,-0.008211483,0
23/9/2019,82.62,82.29,83.6,81.8,678850,0.02200489,0.004010208,473440000,0.006242162,0.000736447,0
24/9/2019,80.02,82.43,82.93,79.46,2150000,0.043669771,-0.029236928,608620000,0.023738809,-0.018853033,0
25/9/2019,79.6,79.12,79.99,76.08,1940000,0.05139327,0.006066734,532510000,0.020090554,0.01085267,0
26/9/2019,79.75,79.25,80.62,78.62,928400,0.02543882,0.006309148,472490000,0.010147641,-0.004889642,0
27/9/2019,76.04,79.69,79.83,75.09,2350000,0.063124251,-0.045802485,527850000,0.020474559,-0.013356348,0
30/9/2019,76.2,76.13,77,74.29,1360000,0.036478665,0.00091948,510050000,0.007865775,0.004426118,0
1/10/2019,75.81,76.43,77.49,75.21,1380000,0.030315118,-0.008111998,541530000,0.019757687,-0.014718139,0
2/10/2019,73.85,74.5,75.78,73.66,1390000,0.028780885,-0.008724832,629680000,0.013912291,-0.008391149,1
3/10/2019,76.83,73.9,78.49,73.39,2610000,0.069491756,0.039648173,518320000,0.022372727,0.010947705,0
4/10/2019,76.53,77,77.78,75.28,1800000,0.033209352,-0.006103896,443550000,0.011042625,0.009359621,0
7/10/2019,76.99,76.99,77.43,75,1430000,0.0324,0,477670000,0.008968683,-1.63E-05,0
8/10/2019,73.59,76.01,76.35,72.58,3160000,0.051942684,-0.031837916,478690000,0.012545167,-0.009433711,0
9/10/2019,72.86,74.22,75.06,72.75,1490000,0.031752577,-0.018323902,391060000,0.007288989,0.000984048,0
10/10/2019,71.01,72.86,73.78,71.01,2280000,0.03900859,-0.025391161,451970000,0.010511645,0.005845993,0
11/10/2019,71.35,71.37,72.89,70.9,2390000,0.028067701,-0.00028023,549190000,0.008574837,0.001205367,0
14/10/2019,70.8,70.46,71.24,69.55,2220000,0.024299065,0.004825433,380780000,0.004161062,0.000534537,0
15/10/2019,71.11,68.76,71.27,68.38,10590000,0.04226382,0.034176847,447400000,0.011691306,0.009146919,0
16/10/2019,67.69,69.7,69.95,66.51,6080000,0.051721546,-0.028837877,470300000,0.005278044,0.00053819,0
17/10/2019,67.03,67.09,68,66.76,3580000,0.018573996,-0.000894321,488840000,0.006443044,-0.002453249,0
18/10/2019,66.08,66.26,66.93,64.53,4820000,0.037192004,-0.002716571,559750000,0.013918547,-0.007400136,0
21/10/2019,65.77,65.29,66.5,64.16,3080000,0.036471322,0.007351815,482280000,0.005775348,0.003142274,0
22/10/2019,62,64.2,64.6,61.02,4610000,0.058669289,-0.034267913,463310000,0.011434242,-0.010236782,1
23/10/2019,62.06,61.33,63.74,60.97,3610000,0.04543218,0.011902821,457420000,0.005513502,0.003652549,1
24/10/2019,64.52,63,65.94,62.76,3440000,0.050669216,0.024126984,468720000,0.006166392,0.000704153,1
25/10/2019,63.45,64.33,64.99,62.79,1950000,0.035037426,-0.013679465,475980000,0.012192982,0.011352552,1
28/10/2019,66.56,63.96,67.47,62.26,3510000,0.083681336,0.040650407,488910000,0.006069808,0.004854105,1
29/10/2019,65.49,65.77,67.11,64.8,1830000,0.035648148,-0.00425726,468380000,0.005335257,-0.004390528,1
30/10/2019,70,65.97,70.09,65.66,4670000,0.067468779,0.061088374,484370000,0.008954463,0.002377998,0
31/10/2019,69.89,69.52,70.08,66.6,3410000,0.052252252,0.005322209,608630000,0.008848549,-0.002648424,0
1/11/2019,70.39,69.86,70.55,68.02,3560000,0.037194943,0.007586602,519420000,0.007228675,0.006160731,0
4/11/2019,70.12,70.81,70.85,69.01,1570000,0.026662802,-0.009744386,555690000,0.003570708,-0.001456397,0
